Starting Integer: 2367634278637862836782367823253326537946


EVEN: 2367634278637862836782367823253326537946 /2
ODD: 1183817139318931418391183911626663268973 *3+1
EVEN: 3551451417956794255173551734879989806920 /2
EVEN: 1775725708978397127586775867439994903460 /2
EVEN: 887862854489198563793387933719997451730 /2
ODD: 443931427244599281896693966859998725865 *3+1
EVEN: 1331794281733797845690081900579996177596 /2
EVEN: 665897140866898922845040950289998088798 /2
ODD: 332948570433449461422520475144999044399 *3+1
EVEN: 998845711300348384267561425434997133198 /2
ODD: 499422855650174192133780712717498566599 *3+1
EVEN: 1498268566950522576401342138152495699798 /2
ODD: 749134283475261288200671069076247849899 *3+1
EVEN: 2247402850425783864602013207228743549698 /2
ODD: 1123701425212891932301006603614371774849 *3+1
EVEN: 3371104275638675796903019810843115324548 /2
EVEN: 1685552137819337898451509905421557662274 /2
ODD: 842776068909668949225754952710778831137 *3+1
EVEN: 2528328206729006847677264858132336493412 /2
EVEN: 1264164103364503423838632429066168246706 /2
ODD: 632082051682251711919316214533084123353 *3+1
EVEN: 1896246155046755135757948643599252370060 /2
EVEN: 948123077523377567878974321799626185030 /2
ODD: 474061538761688783939487160899813092515 *3+1
EVEN: 1422184616285066351818461482699439277546 /2
ODD: 711092308142533175909230741349719638773 *3+1
EVEN: 2133276924427599527727692224049158916320 /2
EVEN: 1066638462213799763863846112024579458160 /2
EVEN: 533319231106899881931923056012289729080 /2
EVEN: 266659615553449940965961528006144864540 /2
EVEN: 133329807776724970482980764003072432270 /2
ODD: 66664903888362485241490382001536216135 *3+1
EVEN: 199994711665087455724471146004608648406 /2
ODD: 99997355832543727862235573002304324203 *3+1
EVEN: 299992067497631183586706719006912972610 /2
ODD: 149996033748815591793353359503456486305 *3+1
EVEN: 449988101246446775380060078510369458916 /2
EVEN: 224994050623223387690030039255184729458 /2
ODD: 112497025311611693845015019627592364729 *3+1
EVEN: 337491075934835081535045058882777094188 /2
EVEN: 168745537967417540767522529441388547094 /2
ODD: 84372768983708770383761264720694273547 *3+1
EVEN: 253118306951126311151283794162082820642 /2
ODD: 126559153475563155575641897081041410321 *3+1
EVEN: 379677460426689466726925691243124230964 /2
EVEN: 189838730213344733363462845621562115482 /2
ODD: 94919365106672366681731422810781057741 *3+1
EVEN: 284758095320017100045194268432343173224 /2
EVEN: 142379047660008550022597134216171586612 /2
EVEN: 71189523830004275011298567108085793306 /2
ODD: 35594761915002137505649283554042896653 *3+1
EVEN: 106784285745006412516947850662128689960 /2
EVEN: 53392142872503206258473925331064344980 /2
EVEN: 26696071436251603129236962665532172490 /2
ODD: 13348035718125801564618481332766086245 *3+1
EVEN: 40044107154377404693855443998298258736 /2
EVEN: 20022053577188702346927721999149129368 /2
EVEN: 10011026788594351173463860999574564684 /2
EVEN: 5005513394297175586731930499787282342 /2
ODD: 2502756697148587793365965249893641171 *3+1
EVEN: 7508270091445763380097895749680923514 /2
ODD: 3754135045722881690048947874840461757 *3+1
EVEN: 11262405137168645070146843624521385272 /2
EVEN: 5631202568584322535073421812260692636 /2
EVEN: 2815601284292161267536710906130346318 /2
ODD: 1407800642146080633768355453065173159 *3+1
EVEN: 4223401926438241901305066359195519478 /2
