Starting Integer: 2367634278637862836782367823253326537984


EVEN: 2367634278637862836782367823253326537984 /2
EVEN: 1183817139318931418391183911626663268992 /2
EVEN: 591908569659465709195591955813331634496 /2
EVEN: 295954284829732854597795977906665817248 /2
EVEN: 147977142414866427298897988953332908624 /2
EVEN: 73988571207433213649448994476666454312 /2
EVEN: 36994285603716606824724497238333227156 /2
EVEN: 18497142801858303412362248619166613578 /2
ODD: 9248571400929151706181124309583306789 *3+1
EVEN: 27745714202787455118543372928749920368 /2
EVEN: 13872857101393727559271686464374960184 /2
EVEN: 6936428550696863779635843232187480092 /2
EVEN: 3468214275348431889817921616093740046 /2
ODD: 1734107137674215944908960808046870023 *3+1
EVEN: 5202321413022647834726882424140610070 /2
ODD: 2601160706511323917363441212070305035 *3+1
EVEN: 7803482119533971752090323636210915106 /2
ODD: 3901741059766985876045161818105457553 *3+1
EVEN: 11705223179300957628135485454316372660 /2
EVEN: 5852611589650478814067742727158186330 /2
ODD: 2926305794825239407033871363579093165 *3+1
EVEN: 8778917384475718221101614090737279496 /2
EVEN: 4389458692237859110550807045368639748 /2
EVEN: 2194729346118929555275403522684319874 /2
ODD: 1097364673059464777637701761342159937 *3+1
EVEN: 3292094019178394332913105284026479812 /2
EVEN: 1646047009589197166456552642013239906 /2
ODD: 823023504794598583228276321006619953 *3+1
EVEN: 2469070514383795749684828963019859860 /2
EVEN: 1234535257191897874842414481509929930 /2
ODD: 617267628595948937421207240754964965 *3+1
EVEN: 1851802885787846812263621722264894896 /2
EVEN: 925901442893923406131810861132447448 /2
EVEN: 462950721446961703065905430566223724 /2
EVEN: 231475360723480851532952715283111862 /2
ODD: 115737680361740425766476357641555931 *3+1
EVEN: 347213041085221277299429072924667794 /2
ODD: 173606520542610638649714536462333897 *3+1
EVEN: 520819561627831915949143609387001692 /2
EVEN: 260409780813915957974571804693500846 /2
ODD: 130204890406957978987285902346750423 *3+1
EVEN: 390614671220873936961857707040251270 /2
ODD: 195307335610436968480928853520125635 *3+1
EVEN: 585922006831310905442786560560376906 /2
ODD: 292961003415655452721393280280188453 *3+1
EVEN: 878883010246966358164179840840565360 /2
EVEN: 439441505123483179082089920420282680 /2
EVEN: 219720752561741589541044960210141340 /2
EVEN: 109860376280870794770522480105070670 /2
ODD: 54930188140435397385261240052535335 *3+1
EVEN: 164790564421306192155783720157606006 /2
ODD: 82395282210653096077891860078803003 *3+1
EVEN: 247185846631959288233675580236409010 /2
ODD: 123592923315979644116837790118204505 *3+1
EVEN: 370778769947938932350513370354613516 /2
EVEN: 185389384973969466175256685177306758 /2
ODD: 92694692486984733087628342588653379 *3+1
EVEN: 278084077460954199262885027765960138 /2
ODD: 139042038730477099631442513882980069 *3+1
EVEN: 417126116191431298894327541648940208 /2
EVEN: 208563058095715649447163770824470104 /2
EVEN: 104281529047857824723581885412235052 /2
EVEN: 52140764523928912361790942706117526 /2
ODD: 26070382261964456180895471353058763 *3+1
EVEN: 78211146785893368542686414059176290 /2
ODD: 39105573392946684271343207029588145 *3+1
EVEN: 117316720178840052814029621088764436 /2
EVEN: 58658360089420026407014810544382218 /2
ODD: 29329180044710013203507405272191109 *3+1
