Starting Integer: 2367634278637862836782367823253326537914


EVEN: 2367634278637862836782367823253326537914 /2
ODD: 1183817139318931418391183911626663268957 *3+1
EVEN: 3551451417956794255173551734879989806872 /2
EVEN: 1775725708978397127586775867439994903436 /2
EVEN: 887862854489198563793387933719997451718 /2
ODD: 443931427244599281896693966859998725859 *3+1
EVEN: 1331794281733797845690081900579996177578 /2
ODD: 665897140866898922845040950289998088789 *3+1
EVEN: 1997691422600696768535122850869994266368 /2
EVEN: 998845711300348384267561425434997133184 /2
EVEN: 499422855650174192133780712717498566592 /2
EVEN: 249711427825087096066890356358749283296 /2
EVEN: 124855713912543548033445178179374641648 /2
EVEN: 62427856956271774016722589089687320824 /2
EVEN: 31213928478135887008361294544843660412 /2
EVEN: 15606964239067943504180647272421830206 /2
ODD: 7803482119533971752090323636210915103 *3+1
EVEN: 23410446358601915256270970908632745310 /2
ODD: 11705223179300957628135485454316372655 *3+1
EVEN: 35115669537902872884406456362949117966 /2
ODD: 17557834768951436442203228181474558983 *3+1
EVEN: 52673504306854309326609684544423676950 /2
ODD: 26336752153427154663304842272211838475 *3+1
EVEN: 79010256460281463989914526816635515426 /2
ODD: 39505128230140731994957263408317757713 *3+1
EVEN: 118515384690422195984871790224953273140 /2
EVEN: 59257692345211097992435895112476636570 /2
ODD: 29628846172605548996217947556238318285 *3+1
EVEN: 88886538517816646988653842668714954856 /2
EVEN: 44443269258908323494326921334357477428 /2
EVEN: 22221634629454161747163460667178738714 /2
ODD: 11110817314727080873581730333589369357 *3+1
EVEN: 33332451944181242620745191000768108072 /2
EVEN: 16666225972090621310372595500384054036 /2
EVEN: 8333112986045310655186297750192027018 /2
ODD: 4166556493022655327593148875096013509 *3+1
EVEN: 12499669479067965982779446625288040528 /2
EVEN: 6249834739533982991389723312644020264 /2
EVEN: 3124917369766991495694861656322010132 /2
EVEN: 1562458684883495747847430828161005066 /2
ODD: 781229342441747873923715414080502533 *3+1
EVEN: 2343688027325243621771146242241507600 /2
EVEN: 1171844013662621810885573121120753800 /2
EVEN: 585922006831310905442786560560376900 /2
EVEN: 292961003415655452721393280280188450 /2
ODD: 146480501707827726360696640140094225 *3+1
EVEN: 439441505123483179082089920420282676 /2
EVEN: 219720752561741589541044960210141338 /2
ODD: 109860376280870794770522480105070669 *3+1
EVEN: 329581128842612384311567440315212008 /2
EVEN: 164790564421306192155783720157606004 /2
EVEN: 82395282210653096077891860078803002 /2
ODD: 41197641105326548038945930039401501 *3+1
EVEN: 123592923315979644116837790118204504 /2
EVEN: 61796461657989822058418895059102252 /2
EVEN: 30898230828994911029209447529551126 /2
ODD: 15449115414497455514604723764775563 *3+1
EVEN: 46347346243492366543814171294326690 /2
ODD: 23173673121746183271907085647163345 *3+1
EVEN: 69521019365238549815721256941490036 /2
EVEN: 34760509682619274907860628470745018 /2
ODD: 17380254841309637453930314235372509 *3+1
EVEN: 52140764523928912361790942706117528 /2
EVEN: 26070382261964456180895471353058764 /2
EVEN: 13035191130982228090447735676529382 /2
ODD: 6517595565491114045223867838264691 *3+1
EVEN: 19552786696473342135671603514794074 /2
ODD: 9776393348236671067835801757397037 *3+1
EVEN: 29329180044710013203507405272191112 /2
