Starting Integer: 2367634278637862836782367823253326537893


ODD: 2367634278637862836782367823253326537893 *3+1
EVEN: 7102902835913588510347103469759979613680 /2
EVEN: 3551451417956794255173551734879989806840 /2
EVEN: 1775725708978397127586775867439994903420 /2
EVEN: 887862854489198563793387933719997451710 /2
ODD: 443931427244599281896693966859998725855 *3+1
EVEN: 1331794281733797845690081900579996177566 /2
ODD: 665897140866898922845040950289998088783 *3+1
EVEN: 1997691422600696768535122850869994266350 /2
ODD: 998845711300348384267561425434997133175 *3+1
EVEN: 2996537133901045152802684276304991399526 /2
ODD: 1498268566950522576401342138152495699763 *3+1
EVEN: 4494805700851567729204026414457487099290 /2
ODD: 2247402850425783864602013207228743549645 *3+1
EVEN: 6742208551277351593806039621686230648936 /2
EVEN: 3371104275638675796903019810843115324468 /2
EVEN: 1685552137819337898451509905421557662234 /2
ODD: 842776068909668949225754952710778831117 *3+1
EVEN: 2528328206729006847677264858132336493352 /2
EVEN: 1264164103364503423838632429066168246676 /2
EVEN: 632082051682251711919316214533084123338 /2
ODD: 316041025841125855959658107266542061669 *3+1
EVEN: 948123077523377567878974321799626185008 /2
EVEN: 474061538761688783939487160899813092504 /2
EVEN: 237030769380844391969743580449906546252 /2
EVEN: 118515384690422195984871790224953273126 /2
ODD: 59257692345211097992435895112476636563 *3+1
EVEN: 177773077035633293977307685337429909690 /2
ODD: 88886538517816646988653842668714954845 *3+1
EVEN: 266659615553449940965961528006144864536 /2
EVEN: 133329807776724970482980764003072432268 /2
EVEN: 66664903888362485241490382001536216134 /2
ODD: 33332451944181242620745191000768108067 *3+1
EVEN: 99997355832543727862235573002304324202 /2
ODD: 49998677916271863931117786501152162101 *3+1
EVEN: 149996033748815591793353359503456486304 /2
EVEN: 74998016874407795896676679751728243152 /2
EVEN: 37499008437203897948338339875864121576 /2
EVEN: 18749504218601948974169169937932060788 /2
EVEN: 9374752109300974487084584968966030394 /2
ODD: 4687376054650487243542292484483015197 *3+1
EVEN: 14062128163951461730626877453449045592 /2
EVEN: 7031064081975730865313438726724522796 /2
EVEN: 3515532040987865432656719363362261398 /2
ODD: 1757766020493932716328359681681130699 *3+1
EVEN: 5273298061481798148985079045043392098 /2
ODD: 2636649030740899074492539522521696049 *3+1
EVEN: 7909947092222697223477618567565088148 /2
EVEN: 3954973546111348611738809283782544074 /2
ODD: 1977486773055674305869404641891272037 *3+1
EVEN: 5932460319167022917608213925673816112 /2
EVEN: 2966230159583511458804106962836908056 /2
EVEN: 1483115079791755729402053481418454028 /2
EVEN: 741557539895877864701026740709227014 /2
ODD: 370778769947938932350513370354613507 *3+1
EVEN: 1112336309843816797051540111063840522 /2
ODD: 556168154921908398525770055531920261 *3+1
EVEN: 1668504464765725195577310166595760784 /2
EVEN: 834252232382862597788655083297880392 /2
EVEN: 417126116191431298894327541648940196 /2
EVEN: 208563058095715649447163770824470098 /2
ODD: 104281529047857824723581885412235049 *3+1
EVEN: 312844587143573474170745656236705148 /2
EVEN: 156422293571786737085372828118352574 /2
ODD: 78211146785893368542686414059176287 *3+1
EVEN: 234633440357680105628059242177528862 /2
ODD: 117316720178840052814029621088764431 *3+1
